      Step     Time          Energy          fmax
BFGS:   26 16:58:03     -124.916031        0.193573
BFGS:   27 16:58:03     -124.918556        0.164977
BFGS:   28 16:58:04     -124.921547        0.151334
BFGS:   29 16:58:04     -124.925529        0.205295
BFGS:   30 16:58:04     -124.930031        0.250426
BFGS:   31 16:58:04     -124.933273        0.199968
BFGS:   32 16:58:04     -124.935059        0.087474
BFGS:   33 16:58:04     -124.936203        0.075665
BFGS:   34 16:58:04     -124.937614        0.204969
BFGS:   35 16:58:04     -124.939713        0.152435
BFGS:   36 16:58:04     -124.942467        0.144942
BFGS:   37 16:58:04     -124.944321        0.087778
BFGS:   38 16:58:04     -124.945160        0.066568
BFGS:   39 16:58:04     -124.946510        0.100719
BFGS:   40 16:58:04     -124.948616        0.159783
BFGS:   41 16:58:04     -124.951363        0.190254
BFGS:   42 16:58:04     -124.953537        0.147441
BFGS:   43 16:58:04     -124.955223        0.101564
BFGS:   44 16:58:05     -124.957352        0.112515
BFGS:   45 16:58:05     -124.960678        0.196304
BFGS:   46 16:58:05     -124.965256        0.293852
BFGS:   47 16:58:05     -124.963776        0.599507
BFGS:   48 16:58:05     -124.971725        0.193426
BFGS:   49 16:58:05     -124.973679        0.128474
BFGS:   50 16:58:05     -124.977623        0.145985
BFGS:   51 16:58:05     -124.980103        0.183769
BFGS:   52 16:58:05     -124.985489        0.236793
BFGS:   53 16:58:05     -124.990059        0.209245
BFGS:   54 16:58:05     -124.993843        0.098700
BFGS:   55 16:58:05     -124.995247        0.115655
BFGS:   56 16:58:05     -124.996437        0.129429
BFGS:   57 16:58:05     -124.998688        0.128712
BFGS:   58 16:58:05     -125.000504        0.131099
BFGS:   59 16:58:05     -125.001892        0.131286
BFGS:   60 16:58:06     -125.002754        0.071498
BFGS:   61 16:58:06     -125.003387        0.062208
BFGS:   62 16:58:06     -125.004234        0.095431
BFGS:   63 16:58:06     -125.005920        0.172186
BFGS:   64 16:58:06     -125.008202        0.208758
BFGS:   65 16:58:06     -125.010239        0.157555
BFGS:   66 16:58:06     -125.011589        0.057772
BFGS:   67 16:58:06     -125.012527        0.101519
BFGS:   68 16:58:06     -125.013710        0.182745
BFGS:   69 16:58:06     -125.015381        0.216826
BFGS:   70 16:58:06     -125.016914        0.154396
BFGS:   71 16:58:06     -125.017792        0.056241
BFGS:   72 16:58:06     -125.018318        0.047065
      Step     Time          Energy          fmax
BFGS:    0 16:58:06     -123.893326        2.347380
BFGS:    1 16:58:07     -123.997925        1.461193
BFGS:    2 16:58:07     -124.058937        0.954791
BFGS:    3 16:58:07     -124.201927        1.349747
BFGS:    4 16:58:07     -124.275452        1.480297
BFGS:    5 16:58:07     -124.436020        1.405859
BFGS:    6 16:58:07     -124.508324        0.792918
BFGS:    7 16:58:07     -124.562164        0.838692
BFGS:    8 16:58:07     -124.598686        0.992653
BFGS:    9 16:58:07     -124.707275        1.223538
BFGS:   10 16:58:07     -124.833046        1.743977
BFGS:   11 16:58:07     -124.901459        1.144575
BFGS:   12 16:58:07     -124.955635        0.570165
BFGS:   13 16:58:07     -124.991440        0.800128
BFGS:   14 16:58:07     -125.038750        1.462901
BFGS:   15 16:58:07     -125.121948        1.198875
BFGS:   16 16:58:08     -125.182915        0.807257
